                                                             СТАТИКА Unnamed: 1  Unnamed: 2                                                          СТАТО-ДИНАМІКА Unnamed: 4  Unnamed: 5                                                   ДИНАМІКА Unnamed: 7  Unnamed: 8                                              ДИНАМІКА.1 Unnamed: 10
0                                                     Назва елементу        бал         NaN                                                          Назва елементу        бал         NaN                                             Назва елементу        бал         NaN                                          Назва елементу         бал
87                                  Горизонт на кільцях ноги нарізно         14         NaN                                                  Вихід принца з ластіки         13         NaN                                   Сальто на брусах вперед           6         NaN                                                     NaN         NaN
88                                          Драгонфлаг на одній руці         14         NaN                                             Вихід принца верхнім хватом         13         NaN                                          Зворотній х-виліт          6         NaN                                                     NaN         NaN
89                                   Стійка на 1 руці на перекладині         15         NaN   Віджимання в стійці на руках глибокі (плечі і лікті нижче лінії брус)         13         NaN                                        Гінгер в підкоління          7         NaN                                                     NaN         NaN
90                                     Планш на ліктях (Біцепс) фулл         15         NaN                                                           Підйом дивану         13         NaN                                                   Перешмиг          7         NaN                                                     NaN         NaN
91          Горизонт ноги нарізно з упором одної руки на кість іншої         15         NaN                                                                   Ангел         14         NaN                                              Великі оберти          7         NaN                                                     NaN         NaN
92                                                 Група елементів D        NaN         NaN                                                Підйом з літака в стійку         14         NaN                                              Переліт кутом          7         NaN                                                     NaN         NaN
93                                                   Диван на брусах         16         NaN                                           Вихід принца арчер з ластівки         14         NaN                                           V 360 ноги разом          7         NaN                                                     NaN         NaN
94                                                      Стійка свіча         16         NaN                  Підйом з горизонта вузьким хватом ноги разом у стійку          15         NaN                                                  Супер олі          7         NaN                                                     NaN         NaN
95                                Стійка прапор на 1 руці ноги разом         17         NaN                      Перекати в пердньому висі (широкому притиснутому)          15         NaN                                           540 з одної руки          7         NaN                                                     NaN         NaN
96                                  Широкий притиснутий передній вис         17         NaN                                                       Група елементів D        NaN         NaN                                               Мортал в сед          7         NaN                                                     NaN         NaN
97                   Горизонт на кільцях ноги разом (Фул на кільцях)         17         NaN                          Підйом з літака в горизонт ноги разом (кільця)         16         NaN                                          360 з виходу на 3          7         NaN                                                     NaN         NaN
98                             Кут на брусах високий горизонтальний          17         NaN                                                        Фляк в горизонт          16         NaN                                    Переднє сальто з місяцю          7         NaN                                                     NaN         NaN
99                                  Горизонт ноги нарізно на пальцях         17         NaN                       Підйом з горизонта схрестним ноги разом у стійку          17         NaN                                     Сальто на брусах назад          7         NaN                                                     NaN         NaN
100                                                  Зворотній хрест         18         NaN                    Підтягування у передньому висі на одній руці (чисто)         20         NaN                                                        NaN        NaN         NaN                                                     NaN         NaN
101                                                       SAT задній         18         NaN                                   Вихід принца рівними руками (накаяма)         20         NaN                                                   Дабл 360          8         NaN                                                     NaN         NaN
102  Літак ноги разом (Фул літак) перекладина / бруса (ВЕРХНІЙ ХВАТ)         18         NaN                                          Елементи надвисокої складності        NaN         NaN                                              Стакер на 360          8         NaN                                                     NaN         NaN
103                 Горизонт ноги разом вузьким хватом \ ігуана фулл         19         NaN                                                                     NaN        NaN         NaN           Перехват з упора (з оборотів ) в зворотній хват           8         NaN                                                     NaN         NaN
104                 Передній вис на одній руці (без закладки на бік)         19         NaN                               Підйом з дед планшу в горизонт ноги разом         21         NaN                                             Перишко на 360          8         NaN                                                     NaN         NaN
